flowers.jpg;1;;;;;;;;;
badge-remove-the-mask.jpg;;;;;;;1;;;
badge-remove-the-mask.jpg;;;;;;;;1;;
badge-remove-the-mask.jpg;;;;;;;;;1;
badge-remove-the-mask.jpg;;;;;;;;;;1
badge-launch.jpg;;;;;;;2;;;
badge-launch.jpg;;;;;;;;2;;
badge-launch.jpg;;;;;;;;;2;
badge-launch.jpg;;;;;;;;;;2
badge-community-join.jpg;;;;;;;3;;;
badge-community-join.jpg;;;;;;;;3;;
badge-community-join.jpg;;;;;;;;;3;
badge-community-join.jpg;;;;;;;;;;3
badge-rally.jpg;;;;;;;4;;;
badge-rally.jpg;;;;;;;;4;;
badge-rally.jpg;;;;;;;;;4;
badge-rally.jpg;;;;;;;;;;4
